"Gene","CellType_Frequency","Comparison_Frequency","Mean_Log2FC","Median_Log2FC","Mean_Abs_Log2FC","Max_Abs_Log2FC","Min_Adjusted_P","Median_Adjusted_P","Category"
"ATP1B3",1,1,-0.944900000861288,-0.944900000861288,0.944900000861288,0.944900000861288,0.00982310034528439,0.00982310034528439,"Cell-type-specific"
"ARHGAP24",1,1,0.939633194307666,0.939633194307666,0.939633194307666,0.939633194307666,0.0000451805366356993,0.0000451805366356993,"Cell-type-specific"
"CCL5",1,1,0.939111826788095,0.939111826788095,0.939111826788095,0.939111826788095,0.0000413801594212328,0.0000413801594212328,"Cell-type-specific"
"TWISTNB",1,1,0.938522220165634,0.938522220165634,0.938522220165634,0.938522220165634,0.0117000974965321,0.0117000974965321,"Cell-type-specific"
"CNEP1R1",1,1,-0.935883051683969,-0.935883051683969,0.935883051683969,0.935883051683969,0.0404731491924687,0.0404731491924687,"Cell-type-specific"
"CRIP1",1,1,-0.935332491386491,-0.935332491386491,0.935332491386491,0.935332491386491,0.00000000000120144242622682,0.00000000000120144242622682,"Cell-type-specific"
"RGS14",1,1,-0.934455197486572,-0.934455197486572,0.934455197486572,0.934455197486572,0.0000000989778151359358,0.0000000989778151359358,"Cell-type-specific"
"MPHOSPH9",1,1,-0.930910424882221,-0.930910424882221,0.930910424882221,0.930910424882221,0.0468104223763276,0.0468104223763276,"Cell-type-specific"
"FPR2",1,1,-0.930745860983895,-0.930745860983895,0.930745860983895,0.930745860983895,0.010148423615837,0.010148423615837,"Cell-type-specific"
"ERGIC1",1,1,-0.927638872442771,-0.927638872442771,0.927638872442771,0.927638872442771,0.00000925605634973007,0.00000925605634973007,"Cell-type-specific"
"TPM4",1,1,0.926133274179886,0.926133274179886,0.926133274179886,0.926133274179886,0.0000984227893306315,0.0000984227893306315,"Cell-type-specific"
"CNOT6L",1,1,-0.924633222442271,-0.924633222442271,0.924633222442271,0.924633222442271,0.000000000000000332400419590378,0.000000000000000332400419590378,"Cell-type-specific"
"P2RY8",1,1,0.92168014896559,0.92168014896559,0.92168014896559,0.92168014896559,0.0000000103946699563314,0.0000000103946699563314,"Cell-type-specific"
