"Sample","Condition","Cell_Type","n","Percentage"
"N8a","SNMG_Pre","Progenitors",12,0.103039670273055
"N8a","SNMG_Pre","T cells",1618,13.8931822084836
"N8b","SNMG_Post","B cells",859,5.65168761102704
"N8b","SNMG_Post","Basophils",73,0.480294756233963
"N8b","SNMG_Post","CD4+ T cells",5197,34.1930390157247
"N8b","SNMG_Post","CD8+ T cells",1285,8.45450358576222
"N8b","SNMG_Post","Dendritic cells",143,0.940851371800776
"N8b","SNMG_Post","Monocytes",4419,29.0742812027107
"N8b","SNMG_Post","NK cells",1195,7.86235936574775
"N8b","SNMG_Post","Neutrophils",162,1.06585959602605
"N8b","SNMG_Post","Progenitors",16,0.105270083558129
"N8b","SNMG_Post","T cells",1850,12.1718534114086
"N9a","SNMG_Pre","B cells",310,2.65274687660448
"N9a","SNMG_Pre","Basophils",63,0.539106623309944
"N9a","SNMG_Pre","CD4+ T cells",1179,10.0889953790861
"N9a","SNMG_Pre","CD8+ T cells",183,1.56597638199555
"N9a","SNMG_Pre","Dendritic cells",64,0.54766387129899
"N9a","SNMG_Pre","Monocytes",3571,30.5579325688858
"N9a","SNMG_Pre","NK cells",3821,32.6972445661475
"N9a","SNMG_Pre","Neutrophils",127,1.08677049460893
"N9a","SNMG_Pre","Progenitors",16,0.136915967824748
"N9a","SNMG_Pre","T cells",2352,20.1266472702379
"N9b","SNMG_Post","B cells",433,3.92316752740781
"N9b","SNMG_Post","Basophils",77,0.697653347830026
"N9b","SNMG_Post","CD4+ T cells",889,8.05472501585576
"N9b","SNMG_Post","CD8+ T cells",139,1.25940019932953
"N9b","SNMG_Post","Dendritic cells",48,0.434900788257679
"N9b","SNMG_Post","Monocytes",2754,24.9524327262843
"N9b","SNMG_Post","NK cells",2655,24.0554498505029
"N9b","SNMG_Post","Neutrophils",1281,11.6064147866268
"N9b","SNMG_Post","Progenitors",15,0.135906496330525
"N9b","SNMG_Post","T cells",2746,24.8799492615747
