"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","CellType","Comparison","Direction"
"ZBTB16",0.0000000000353870017440077,-1.7388956088709,0.034,0.118,0.00000129519965083243,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"HBA2",0.000000000012129804955018,-1.51823257890834,0.148,0.28,0.000000443962991158612,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"HBB",0.00000000000000000000000000000000000000000000225122601710323,-1.33474235422464,0.621,0.843,0.0000000000000000000000000000000000000000823971234519952,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"S100B",0.00000000127174843123564,-1.27831503663412,0.138,0.251,0.0000465472643316557,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"FBLN5",0.000000255249195192699,-1.19262655478167,0.076,0.156,0.00934237579324797,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"DSEL",0.00000000000083699135745143,-1.05915171304258,0.151,0.295,0.0000000306347206740798,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"C1orf162",0.000000201067536113251,-0.780019188198972,0.258,0.369,0.00735927288928109,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"LBR",0.000000226335487770793,-0.67604089983309,0.223,0.339,0.00828410518789881,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"DDIT4",0.000000000232005651089905,-0.670577600197386,0.424,0.552,0.00000849163883554161,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"FKBP5",0.000000000238645310754449,-0.590576124581492,0.424,0.567,0.00000873465701892359,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"CARS",0.000000310166516763138,-0.574004667698908,0.308,0.431,0.0113524046800476,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"PASK",0.000000149583059295989,-0.564894360501327,0.217,0.339,0.00547488955329251,"CD8 T cells","Healthy_vs_SNMG_Pre","Downregulated"
"IGHA1",0.000000000138599913037277,-5.38094886625987,0.041,0.132,0.00000507289541707737,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"ZBTB16",0.00000000000000000000000000181303488178936,-3.47737912862193,0.027,0.202,0.0000000000000000000000663588897083723,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"SRGAP1",0.0000000000000000000000000000000419205705952142,-2.90713991010412,0.03,0.233,0.00000000000000000000000000153433480435543,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"FOSB",0.000000000119365040385078,-2.89468388067559,0.247,0.363,0.00000436887984313423,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"ID1",0.0000000000171717954605061,-2.80913345254872,0.044,0.143,0.000000628504885649984,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"ELL2",0.000000000823627875728211,-2.58581261673419,0.03,0.109,0.0000301456038795283,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"RGS1",0.0000000000000273834717008699,-2.55088061619002,0.252,0.403,0.00000000100226244772354,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"ATF3",0.0000000000110992330646791,-2.54703822568119,0.101,0.221,0.000000406243029400321,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"MAFF",0.0000000000566245579002687,-2.44400009634446,0.074,0.18,0.00000207251544370774,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"AC020916.1",0.0000000056608048097507,-2.37238855794672,0.226,0.33,0.000207191116841685,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"TIPARP",0.000000000000142478854631416,-2.31708343890762,0.178,0.325,0.00000000521486855836445,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"JUN",0.000000135087079375551,-2.19106744083179,0.149,0.246,0.00494432219222455,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"SAP30",0.00000000000000000000000000000000000022184692686672,-2.07829607993049,0.267,0.546,0.00000000000000000000000000000000811981937024882,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"PDK4",0.0000000000000260714588915497,-2.00975395986722,0.042,0.161,0.00000000095424146688961,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"EREG",0.00000000935824272719613,-1.88556446638995,0.15,0.262,0.000342521042058106,"Dendritic cells","Healthy_vs_SNMG_Pre","Downregulated"
"ADAMTS2",0.00000000000000000200491469746002,-5.41451874608196,0.002,0.128,0.0000000000000733818828417343,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"IL1R2",0.00000000000000000000622631877240969,-3.65824062453353,0.036,0.212,0.000000000000000227889493388967,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"SRGAP1",0.00000000000000000188304128932802,-3.54438964014294,0.026,0.177,0.0000000000000689211942306948,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"JUN",0.000000000703741270793193,-2.80538224082618,0.165,0.288,0.0000257576342523017,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"FOSB",0.00000000274037113697116,-2.6440911502486,0.236,0.341,0.000100300323984281,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"FLT3",0.00000000000138943079571491,-2.55563283540162,0.038,0.156,0.0000000508545565539614,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"SAP30",0.000000000000000000000000000000000000000000000139553248207015,-2.51618362763142,0.206,0.557,0.00000000000000000000000000000000000000000510778843762495,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"ZBTB16",0.00000000000000000000000000000000000000000519667841942104,-2.41622626465757,0.149,0.487,0.00000000000000000000000000000000000019020362682923,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"PDK4",0.0000000000000014120664120053,-2.33926360875188,0.078,0.241,0.0000000000516830427458059,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"AL118516.1",0.000000000336925723287896,-2.28061522250444,0.047,0.152,0.0000123318183980603,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"FKBP5",0.00000000000000000000000000000000000000000555648277454055,-2.16270649218008,0.319,0.616,0.000000000000000000000000000000000000203372826030959,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"TIPARP",0.00000000533923060247058,-1.94604635851284,0.102,0.217,0.000195421179281026,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"FMN1",0.0000000227840875297188,-1.90795145766951,0.055,0.149,0.000833920387675236,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
"PKP2",0.00000000150817400939256,-1.81156193424926,0.031,0.123,0.0000552006769177769,"Monocytes","Healthy_vs_SNMG_Pre","Downregulated"
